x,y
0,-19.6968
1,-18.3001
2,-18.4578
3,-25.6764
4,-14.0763
5,-22.8384
6,-14.4268
7,-7.51845
8,0.331824
9,-13.0161
10,-5.29206
11,-7.58473
12,-9.35531
13,-9.72207
14,-10.9404
15,-0.40821
16,-5.69257
17,-8.64375
18,-3.63525
19,-11.1879
20,-6.471
21,-6.51734
22,-6.43102
23,-2.6241
24,7.534374
25,4.984597
26,0.142586
27,-2.94272
28,2.512479
29,11.18074
30,13.91077
31,2.239937
32,10.02012
33,1.371958
34,5.583395
35,5.307005
36,1.716403
37,19.33082
38,7.836241
39,11.78604
40,12.38733
41,13.37396
42,13.677
43,3.355935
44,10.83869
45,19.58793
46,16.47916
47,15.39015
48,16.2184
49,17.07423
50,27.19564
51,21.10999
52,22.61276
53,21.85736
54,17.83774
55,23.92433
56,22.42475
57,29.23423
58,32.09986
59,18.70981
60,27.24106
61,33.41102
62,24.47943
63,36.25187
64,30.25665
65,26.89492
66,33.26894
67,34.05205
68,39.74705
69,29.4445
70,29.56117
71,30.52182
72,37.77907
73,38.13793
74,42.12847
75,44.13313
76,42.44882
77,39.30623
78,51.96022
79,47.40279
80,47.92538
81,41.58809
82,41.89042
83,35.80402
84,50.70024
85,48.06256
86,46.06245
87,49.65639
88,41.03985
89,55.18553
90,43.21606
91,56.27693
92,52.9484
93,54.12463
94,54.92296
95,55.01262
96,65.90357
97,56.18888
98,66.52639
99,53.87323